Company/Organization;SUM;Ericsson;Ericsson;Ericsson;Ericsson;Apple;Apple;Apple;Apple;Apple;Apple;Apple;Apple;Apple;Apple;Apple;Fraunhofer IIS;Fraunhofer IIS;Telecom ParisTech;Telecom ParisTech;Telecom ParisTech;Telecom ParisTech;Telecom ParisTech;Telecom ParisTech;Telecom ParisTech;Telecom ParisTech;Telecom ParisTech;Telecom ParisTech;Telecom ParisTech;Telecom ParisTech;Telecom ParisTech;Klagenfurt University;Nokia;Nokia;Nokia;panasonic;KDDI;Ericsson;Ericsson;Ericsson;Ericsson;Nokia;Nokia;Nokia;Nokia;Nokia;Nokia;Telecom ParisTech;Telecom ParisTech
Protected streams (IPMP);---;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
sample scale box;---;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
progressive dnload box; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;
shadow sync; ;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;
Copyright box; ;;;;;;;;;;;;;;;;;;x;x;x;x;x;x;x;x;x;x;;x;x;;;;;;;;;;;;;;;;;;
Interleaved data; ;;;;;x;;;;;;;;;;;x;x;x;x;x;;;;;;;x;;;;;;;;;;;x;;;;;;;;;;
Two or more mdats; ;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;
sample dependency; ;;;;;;;;;x;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;
several sample description; ;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Level assignment; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;x;;;;;;;;
Track groups; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;
Sub-sample Information;---;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sample Auxiliary Information;---;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sub-tracks; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;x;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Restricted sample entry; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;
Encrypted sample entry;---;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
movie fragments;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Movie fragment box; ;;;;;;;;x;;;;;;;;;;;;;;;;;;;x;;;;;;;;x;x;;;;;;;;;;;;
mov. Ext header; ;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;x;x;;;;;;;;;;;;
fragment random access; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;x;;;;;;;;;;;;
64-bit fragments;---;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
segment type box;---;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
segment index box; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;
sub-segment index box; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;
Producer reference time;---;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Meta-boxes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
file-level; ;;;;;;;;;;;;;;;;;;;;;;x;;;;;;x;;;;x;x;x;;;;;;;;;;;;;;
movie-level; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;
track-level; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;
basic protected meta-data;---;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ipmp protected meta-data;---;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
